Company,FiscalYear,Credibility Score,StrategicRelevance Score,Depth Score,Mean Score
Berjaya,2024,10,2,8,6.6667
Berjaya,2025,9,3,7,6.3333
F&N,2024,9,7,8,8
F&N,2025,9,5.5,7,7.1667
Power,2024,8,6,7,7
Power,2025,8.5,7.5,6.3,7.4333
QL,2024,9,6,8,7.6667
QL,2025,8.5,6.5,8,7.6667
